chain,chain,ch,The chain is a unit of length defined as 20.1168 metre.
cicero,cicero,,The cicero is a unit of length defined as 12 point (Didot).
fathom-USSurvey,fathom (US survey),,The US survey fathom is a unit of length defined as 1.828804 metre.
fermi,fermi,,The fermi is a unit of length defined as 1.0e-15 metre.
foot-International,foot (international),ft,The international foot is a unit of length defined as 3.048e-1 metre.
foot-USSurvey,foot (US survey),ft,The US survey foot is a unit of length defined as 3.048006e-1 metre.
furlong-International,furlong (international),,The international furlong is a unit of length defined as 201.168 metre.
inch-International,inch (international),in,The international inch is a unit of length defined as 2.54e-2 metre.
metre,metre,m,The metre is a unit of length defined as the length of the path travelled by light in vacuum during a time interval of 1/299 792 458 of a second.
micron,micron,μ,The micron is a unit of length defined as 1.0e-6 metre.
mil-Length,mil (length),,The mil (length) is a unit of length defined as 2.54e-5 metre.
mile-Statute,mile (statute),mi,The statute mile is a unit of length defined as 1.609344e3 metre.
mile-USSurvey,mile (US survey),,The US survey mile is a unit of length defined as 1.609347e3 metre.
nauticalMile-International,nautical mile (international),nmi,The international nautical mile is a unit of length defined as 1852 metre.
pica-ATA,pica (ATA),,The ATA pica is a unit of length defined as 12 point (ATA).
pica-Postscript,pica (Postscript),,The Postscript pica is a unit of length defined as 12 point (Postscript).
pica-TeX,pica (TeX),,The TeX pica is a unit of length defined as 12 point (TeX).
point-ATA,point (ATA),pt,The ATA point is a unit of length defined as 0.3514598e-3 metre.
point-Didot,point (Didot),pt,The Didot point is a unit of length defined as 0.3759e-3 metre.
point-Postscript,point (Postscript),pt,The Postscript point is a unit of length defined as 0.013888888888888888888888888888889 inch.
point-TeX,point (TeX),pt,The TeX point is a unit of length defined as 0.01383700013837000138370001383 inch.
rod-US,rod (US),rd,The US rod is a unit of length defined as 5.029210 metre.
yard-International,yard (international),yd,The international yard is a unit of length defined as 9.144e-1 metre.
angstrom,ångström,Å,The ångström is a unit of length defined as 1.0e-10 metre. The unit is often used for wavelengths of electromagnetic radiation or to express the sizes of atoms and molecules.
astronomicalUnit,astronomical unit,au,The astronomical unit is a unit of length defined as 149 597 870 700 metre (IAU 2012 Resolution).
lightYear,light year,ly,The light year is a unit of length defined as 9.46073e15 metre.
parsec,parsec,pc,The parsec is a unit of length defined as 3.08567758149137e16 metre.
acre-International,acre (international),ac,The international acre is a unit of area defined as 4.0468564224e3 square metre.
acre-USSurvey,acre (US survey),ac,The US survey acre is a unit of area defined as 4.046872609874252e3 square metre.
are,are,a,The are is a unit of area defined as 100 square metre.
barn,barn,b,The barn is a unit of area defined as 1.0e-28 square metre.
circularMil,circular mil,,The cicular mil is a unit of area defined as 5.067075e-10 square metre.
acreFoot,acre foot,,The acre foot is a unit of volume defined as 1.233489e3 cubic metre.
barrel-US,barrel (US),bbl,The US barrel is a unit of volume defined as 1.589873e-1 cubic metre.
bushel-US,bushel (US),bu,The US bushel is a unit of volume defined as 3.523907e-2 cubic metre.
cord,cord,,The cord is a unit of volume defined as 3.624556 cubic metre.
cup-USCustomary,cup (US customary),,The US customary cup is a unit of volume defined as 2.365882e-4 cubic metre.
dryGallon-US,dry gallon (US),gal,The US dry gallon is a unit of volume defined as 4.40488377086e-3 cubic metre.
dryPint-US,dry pint (US),dry pt,The US dry pint is a unit of volume defined as 5.506105e-4 cubic metre.
dryQuart-US,dry quart (US),dry qt,The US dry quart is a unit of volume defined as 1.101221e-3 cubic metre.
fluidOunce-Imperial,fluid ounce (imperial),fl oz,The imperial fluid ounce is a unit of volume defined as 2.841306e-5 cubic metre.
fluidOunce-US,fluid ounce (US),fl oz,The US fluid ounce is a unit of volume defined as 2.957353e-5 cubic metre.
gallon-Imperial,gallon (imperial),gal,The imperial gallon is a unit of volume defined as 4.54609e-3 cubic metre.
gallon-US,gallon (US),gal,The US gallon is a unit of volume defined as 3.785412e-3 cubic metre.
