Code,Label,Symbol,Description
10,group,,A unit of count defining the number of groups (group: set of items classified together).
11,outfit,,A unit of count defining the number of outfits (outfit: a complete set of equipment / materials / objects used for a specific purpose).
13,ration,,A unit of count defining the number of rations (ration: a single portion of provisions).
14,shot,,"A unit of liquid measure, especially related to spirits."
15,"stick, military",,A unit of count defining the number of military sticks (military stick: bombs or paratroops released in rapid succession from an aircraft).
20,twenty foot container,,A unit of count defining the number of shipping containers that measure 20 foot in length.
21,forty foot container,,A unit of count defining the number of shipping containers that measure 40 foot in length.
22,decilitre per gram,dl/g,
23,gram per cubic centimetre,g/cm³,
24,theoretical pound,,A unit of mass defining the expected mass of material expressed as the number of pounds.
25,gram per square centimetre,g/cm²,
27,theoretical ton,,"A unit of mass defining the expected mass of material, expressed as the number of tons."
28,kilogram per square metre,kg/m²,
33,kilopascal square metre per gram,kPa·m²/g,
34,kilopascal per millimetre,kPa/mm,
35,millilitre per square centimetre second,ml/(cm²·s),
37,ounce per square foot,oz/ft²,
38,"ounce per square foot per 0,01inch",oz/(ft²/cin),
40,millilitre per second,ml/s,
41,millilitre per minute,ml/min,
56,sitas,,A unit of area for tin plate equal to a surface area of 100 square metres.
57,mesh,,A unit of count defining the number of strands per inch as a measure of the fineness of a woven product.
58,net kilogram,,A unit of mass defining the total number of kilograms after deductions.
59,part per million,ppm,A unit of proportion equal to 10⁻⁶.
60,percent weight,,A unit of proportion equal to 10⁻².
61,part per billion (US),ppb,A unit of proportion equal to 10⁻⁹.
74,millipascal,mPa,
77,milli-inch,mil,
80,pound per square inch absolute,lb/in²,
81,henry,H,
85,foot pound-force,ft·lbf,
87,pound per cubic foot,lb/ft³,
89,poise,P,
91,stokes,St,
1I,fixed rate,,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service.
2A,radian per second,rad/s,Refer ISO/TC12 SI Guide
2B,radian per second squared,rad/s²,Refer ISO/TC12 SI Guide
2C,roentgen,R,
2G,volt AC,V,A unit of electric potential in relation to alternating current (AC).
2H,volt DC,V,A unit of electric potential in relation to direct current (DC).
2I,British thermal unit (international table) per hour,BtuIT/h,
2J,cubic centimetre per second,cm³/s,
2K,cubic foot per hour,ft³/h,
2L,cubic foot per minute,ft³/min,
2M,centimetre per second,cm/s,
2N,decibel,dB,
2P,kilobyte,kbyte,A unit of information equal to 10³ (1000) bytes.
2Q,kilobecquerel,kBq,
2R,kilocurie,kCi,
2U,megagram,Mg,
2X,metre per minute,m/min,
2Y,milliroentgen,mR,
2Z,millivolt,mV,
3B,megajoule,MJ,
3C,manmonth,,A unit of count defining the number of months for a person or persons to perform an undertaking.
4C,centistokes,cSt,
4G,microlitre,µl,
4H,micrometre (micron),µm,
4K,milliampere,mA,
4L,megabyte,Mbyte,A unit of information equal to 10⁶ (1000000) bytes.
4M,milligram per hour,mg/h,
4N,megabecquerel,MBq,
4O,microfarad,µF,
4P,newton per metre,N/m,
4Q,ounce inch,oz·in,
4R,ounce foot,oz·ft,
4T,picofarad,pF,
4U,pound per hour,lb/h,
4W,ton (US) per hour,ton (US) /h,
4X,kilolitre per hour,kl/h,
5A,barrel (US) per minute,barrel (US)/min,
5B,batch,,A unit of count defining the number of batches (batch: quantity of material produced in one operation or number of animals or persons coming at once).
5E,MMSCF/day,,A unit of volume equal to one million (1000000) cubic feet of gas per day.
5J,hydraulic horse power,,A unit of power defining the hydraulic horse power delivered by a fluid pump depending on the viscosity of the fluid.
A10,ampere square metre per joule second,A·m²/(J·s),
A11,angstrom,Å,
A12,astronomical unit,ua,
A13,attojoule,aJ,
A14,barn,b,
A15,barn per electronvolt,b/eV,
A16,barn per steradian electronvolt,b/(sr·eV),
A17,barn per steradian,b/sr,
A18,becquerel per kilogram,Bq/kg,
A19,becquerel per cubic metre,Bq/m³,
A2,ampere per centimetre,A/cm,
A20,British thermal unit (international table) per second square foot degree Rankine,BtuIT/(s·ft²·°R),
A21,British thermal unit (international table) per pound degree Rankine,BtuIT/(lb·°R),
A22,British thermal unit (international table) per second foot degree Rankine,BtuIT/(s·ft·°R),
A23,British thermal unit (international table) per hour square foot degree Rankine,BtuIT/(h·ft²·°R),
A24,candela per square metre,cd/m²,
A26,coulomb metre,C·m,
A27,coulomb metre squared per volt,C·m²/V,
A28,coulomb per cubic centimetre,C/cm³,
A29,coulomb per cubic metre,C/m³,
A3,ampere per millimetre,A/mm,
A30,coulomb per cubic millimetre,C/mm³,
A31,coulomb per kilogram second,C/(kg·s),
A32,coulomb per mole,C/mol,
A33,coulomb per square centimetre,C/cm²,
A34,coulomb per square metre,C/m²,
A35,coulomb per square millimetre,C/mm²,
A36,cubic centimetre per mole,cm³/mol,
A37,cubic decimetre per mole,dm³/mol,
A38,cubic metre per coulomb,m³/C,
A39,cubic metre per kilogram,m³/kg,
A4,ampere per square centimetre,A/cm²,
A40,cubic metre per mole,m³/mol,
A41,ampere per square metre,A/m²,
A42,curie per kilogram,Ci/kg,
A43,deadweight tonnage,dwt,"A unit of mass defining the difference between the weight of a ship when completely empty and its weight when completely loaded, expressed as the number of tons."
A44,decalitre,dal,
A45,decametre,dam,
A47,decitex,dtex (g/10km),A unit of yarn density. One decitex equals a mass of 1 gram per 10 kilometres of length.
A48,degree Rankine,°R,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics)
A49,denier,den (g/9 km),A unit of yarn density. One denier equals a mass of 1 gram per 9 kilometres of length.
A5,ampere square metre,A·m²,
A53,electronvolt,eV,
A54,electronvolt per metre,eV/m,
A55,electronvolt square metre,eV·m²,
A56,electronvolt square metre per kilogram,eV·m²/kg,
A59,8-part cloud cover,,"A unit of count defining the number of eighth-parts as a measure of the celestial dome cloud coverage.,Synonym: OKTA , OCTA"
A6,ampere per square metre kelvin squared,A/(m²·K²),
A68,exajoule,EJ,
A69,farad per metre,F/m,
A7,ampere per square millimetre,A/mm²,
A70,femtojoule,fJ,
A71,femtometre,fm,
A73,foot per second squared,ft/s²,
A74,foot pound-force per second,ft·lbf/s,
A75,freight ton,,"A unit of information typically used for billing purposes, defined as either the number of metric tons or the number of cubic metres, whichever is the larger."
A76,gal,Gal,
A8,ampere second,A·s,
A84,gigacoulomb per cubic metre,GC/m³,
A85,gigaelectronvolt,GeV,
A86,gigahertz,GHz,
A87,gigaohm,GΩ,
A88,gigaohm metre,GΩ·m,
A89,gigapascal,GPa,
A9,rate,,A unit of quantity expressed as a rate for usage of a facility or service.
A90,gigawatt,GW,
A91,gon,gon,Synonym: grade
A93,gram per cubic metre,g/m³,
A94,gram per mole,g/mol,
A95,gray,Gy,
A96,gray per second,Gy/s,
A97,hectopascal,hPa,
A98,henry per metre,H/m,
A99,bit,bit,A unit of information equal to one binary digit.
AA,ball,,A unit of count defining the number of balls (ball: object formed in the shape of sphere).
AB,bulk pack,pk,A unit of count defining the number of items per bulk pack.
ACR,acre,acre,
ACT,activity,,A unit of count defining the number of activities (activity: a unit of work or action).
AD,byte,byte,A unit of information equal to 8 bits.
AE,ampere per metre,A/m,
AH,additional minute,,A unit of time defining the number of minutes in addition to the referenced minutes.
AI,average minute per call,,A unit of count defining the number of minutes for the average interval of a call.
AK,fathom,fth,
AL,access line,,A unit of count defining the number of telephone access lines.
AMH,ampere hour,A·h,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.
AMP,ampere,A,
